iter	Logloss
0	0.5642358655
1	0.4900644128
2	0.4440768125
3	0.4187040921
4	0.4007879951
5	0.3889333463
6	0.3816295855
7	0.3755870618
8	0.3712739117
9	0.3686801026
10	0.3665898042
11	0.365551467
12	0.3643018717
13	0.3630710003
14	0.3622212681
15	0.3614520439
16	0.3608861705
17	0.3605189896
18	0.3601163228
19	0.3597453277
20	0.3594569125
21	0.3590785365
22	0.3589434155
23	0.3584309131
24	0.3581146242
25	0.3580183322
26	0.3579929134
27	0.3578844444
28	0.3576099838
29	0.3574236201
30	0.3573630609
31	0.3571011981
32	0.3569275342
33	0.3568489196
34	0.3567565853
35	0.3566936757
36	0.3565846194
37	0.356515007
38	0.356479506
39	0.3562464054
40	0.3561036035
41	0.3560823192
42	0.3559173041
43	0.3558460667
44	0.3557733506
45	0.3556594236
46	0.3555716825
47	0.3554599894
48	0.3554502996
49	0.35540055
50	0.3552911646
51	0.3552313444
52	0.35517902
53	0.3551086513
54	0.3550544406
55	0.3550252217
56	0.3549255383
57	0.354784655
58	0.3547414394
59	0.3547229777
60	0.3546087871
61	0.3544161582
62	0.3543940054
63	0.3543490719
64	0.3543017577
65	0.3542376978
66	0.3541973371
67	0.3541154738
68	0.3540800257
69	0.3539053671
70	0.353761613
71	0.35376094
72	0.3536287199
73	0.3535932333
74	0.3535467948
75	0.3534930912
76	0.35344215
77	0.3533584296
78	0.3532331417
79	0.3532331415
80	0.3530939851
81	0.3529054889
82	0.3528015225
83	0.3527491696
84	0.3525562569
85	0.3523781521
86	0.3523701389
87	0.3522361334
88	0.3520028281
89	0.3517222173
90	0.3516048313
91	0.351520203
92	0.351356781
93	0.3511299946
94	0.3510475925
95	0.3509509742
96	0.350879995
97	0.3507210134
98	0.3506188074
99	0.3505054703
100	0.3503753956
101	0.3502948615
102	0.3499636914
103	0.3498375116
104	0.3497587968
105	0.3496879496
106	0.3496139381
107	0.3495167271
108	0.3493968836
109	0.3493109973
110	0.3491354762
111	0.3489236238
112	0.348802359
113	0.3485001864
114	0.3484033948
115	0.3482018987
116	0.3480926886
117	0.348017819
118	0.3477164914
119	0.3474833097
120	0.3473990508
121	0.3473329582
122	0.3472079495
123	0.3471456319
124	0.3469927352
125	0.3469265795
126	0.3467763578
127	0.3466660468
128	0.346453011
129	0.3463167589
130	0.3462185613
131	0.3461156947
132	0.3460216129
133	0.3459357419
134	0.3458883096
135	0.3457575762
136	0.345668194
137	0.3455971829
138	0.3454922274
139	0.3454064969
