iter	Passed	Remaining
0	103	124428
1	213	127908
2	323	129207
3	458	137203
4	559	133672
5	662	131834
6	758	129291
7	854	127302
8	952	126111
9	1047	124646
10	1133	122529
11	1226	121465
12	1323	120872
13	1417	120084
14	1506	119021
15	1605	118824
16	1700	118366
17	1802	118396
18	1908	118649
19	2012	118766
20	2099	117850
21	2200	117821
22	2291	117275
23	2384	116818
24	2483	116722
25	2585	116762
26	2692	116978
27	2779	116356
28	2858	115413
29	2947	114939
30	3045	114844
31	3149	114974
32	3242	114681
33	3341	114581
34	3431	114207
35	3529	114133
36	3629	114084
37	3725	113930
38	3822	113792
39	3930	113976
40	4032	114005
41	4121	113641
42	4222	113608
43	4322	113568
44	4419	113421
45	4522	113449
46	4614	113206
47	4710	113058
48	4813	113060
49	4913	113016
50	5012	112924
51	5067	111883
52	5159	111659
53	5245	111327
54	5343	111235
55	5439	111119
56	5535	110992
57	5618	110623
58	5714	110517
59	5821	110605
60	5920	110551
61	6022	110535
62	6127	110589
63	6233	110648
64	6333	110599
65	6455	110911
66	6545	110683
67	6646	110638
68	6745	110564
69	6837	110382
70	6936	110300
71	7030	110143
72	7132	110109
73	7240	110168
74	7354	110315
75	7467	110442
76	7574	110476
77	7684	110533
78	7778	110381
79	7886	110408
80	7974	110165
81	8079	110159
82	8166	109902
83	8266	109832
84	8372	109826
85	8474	109773
86	8577	109734
87	8660	109440
88	8753	109271
89	8854	109203
90	8962	109223
91	9060	109123
92	9152	108944
93	9260	108961
94	9351	108769
95	9456	108744
96	9560	108708
97	9666	108697
98	9755	108497
99	9859	108457
100	9968	108471
101	10067	108374
102	10160	108212
103	10265	108185
104	10353	107967
105	10453	107889
106	10536	107634
107	10615	107330
108	10722	107325
109	10826	107285
110	10930	107237
111	11032	107173
112	11133	107097
113	11239	107069
114	11340	106999
115	11441	106914
116	11543	106852
117	11643	106761
118	11747	106718
119	11856	106707
120	11955	106610
121	12059	106559
122	12160	106478
123	12261	106394
124	12368	106366
125	12469	106288
126	12572	106223
127	12682	106218
128	12792	106209
129	12907	106241
130	13012	106183
131	13115	106115
132	13222	106078
133	13331	106051
134	13438	106013
135	13543	105961
136	13643	105860
137	13731	105673
138	13811	105421
139	13910	105322
140	14018	105286
141	14117	105182
142	14211	105044
143	14315	104979
144	14420	104921
145	14525	104864
146	14615	104693
147	14714	104590
148	14818	104526
149	14921	104449
150	15019	104341
151	15125	104283
152	15222	104173
153	15323	104078
154	15427	104011
155	15518	103855
156	15620	103773
157	15703	103564
158	15815	103545
159	15915	103449
160	16002	103270
161	16108	103212
162	16216	103168
