iter	Passed	Remaining
0	97	116987
1	179	107288
2	258	103233
3	328	98223
4	393	93970
5	460	91711
6	530	90463
7	598	89211
8	659	87306
9	727	86598
10	789	85305
11	854	84582
12	939	85802
13	1025	86894
14	1109	87683
15	1204	89125
16	1313	91401
17	1407	92429
18	1511	93977
19	1573	92850
20	1640	92099
21	1717	91950
22	1784	91317
23	1841	90249
24	1903	89459
25	1974	89136
26	2039	88605
27	2119	88710
28	2187	88323
29	2266	88385
30	2335	88088
31	2415	88167
32	2496	88269
33	2605	89337
34	2758	91807
35	2883	93240
36	2954	92874
37	3042	93022
38	3131	93208
39	3231	93719
40	3340	94420
41	3456	95313
42	3551	95553
43	3653	95979
44	3752	96308
45	3824	95956
46	3905	95804
47	4004	96118
48	4086	95990
49	4176	96069
50	4267	96154
51	4415	97487
52	4566	98817
53	4661	98923
54	4750	98896
55	4855	99181
56	4973	99723
57	5065	99733
58	5175	100081
59	5279	100302
60	5368	100235
61	5461	100240
62	5546	100108
63	5633	99993
64	5733	100114
65	5807	99786
66	5914	100011
67	6017	100170
68	6100	100002
69	6196	100028
70	6283	99914
71	6348	99466
72	6435	99355
73	6492	98791
74	6557	98367
75	6643	98259
76	6706	97811
77	6777	97490
78	6857	97313
79	6922	96911
80	6990	96578
81	7069	96383
82	7142	96126
83	7231	96077
84	7310	95896
85	7380	95602
86	7449	95301
87	7520	95029
88	7590	94753
89	7659	94467
90	7722	94110
91	7799	93933
92	7871	93700
93	7934	93362
94	8008	93148
95	8078	92908
96	8142	92594
97	8210	92324
98	8275	92038
99	8333	91670
100	8413	91546
101	8479	91278
102	8543	90994
103	8622	90869
104	8711	90849
105	8796	90788
106	8858	90489
107	8907	90060
108	8973	89814
109	9034	89525
110	9101	89293
111	9165	89040
112	9230	88791
113	9315	88743
114	9381	88513
115	9460	88410
116	9551	88408
117	9663	88613
118	9731	88404
119	9832	88496
120	9950	88729
121	10108	89316
122	10324	90401
123	10451	90695
124	10596	91127
125	10704	91242
126	10837	91565
127	10957	91772
128	11054	91780
129	11171	91950
130	11264	91920
131	11347	91814
132	11432	91720
133	11591	92212
134	11732	92552
135	11862	92804
136	12036	93389
137	12155	93541
138	12297	93866
139	12406	93933
140	12530	94113
141	12723	94797
142	12840	94908
143	12973	95141
144	13087	95225
145	13204	95325
146	13380	95847
147	13499	95953
148	13704	96664
149	13841	96887
150	14025	97437
151	14136	97469
152	14241	97457
153	14352	97484
154	14475	97591
155	14562	97456
156	14651	97331
157	14807	97653
158	14997	98192
159	15200	98803
160	15321	98875
161	15451	99001
162	15537	98846
163	15627	98718
164	15758	98849
165	15877	98901
166	15951	98670
167	16036	98507
168	16153	98547
169	16263	98535
170	16356	98425
171	16425	98168
172	16501	97957
173	16597	97870
174	16706	97854
175	16789	97686
176	16855	97418
177	16953	97340
178	17095	97511
179	17222	97596
180	17321	97518
181	17402	97340
182	17501	97264
183	17595	97157
184	17666	96924
185	17748	96755
186	17819	96532
187	17901	96365
188	17981	96187
189	18076	96089
190	18169	95982
191	18253	95828
192	18347	95729
193	18444	95643
194	18538	95544
195	18607	95314
196	18697	95197
197	18765	94964
198	18847	94803
199	18910	94552
200	18974	94305
201	19043	94084
202	19115	93880
203	19219	93836
204	19344	93889
205	19414	93679
206	19484	93467
207	19564	93307
208	19641	93133
209	19721	92972
210	19788	92754
211	19873	92619
212	19987	92619
213	20069	92467
214	20145	92292
215	20214	92088
216	20287	91901
217	20368	91749
218	20454	91626
219	20537	91483
220	20608	91292
221	20700	91194
222	20784	91061
223	20907	91097
224	21018	91080
225	21138	91102
226	21233	91013
227	21316	90875
228	21424	90845
229	21502	90682
230	21598	90601
231	21717	90613
232	21799	90472
233	21875	90308
234	21972	90227
235	22076	90177
236	22177	90114
237	22244	89910
238	22372	89957
239	22551	90206
240	22651	90136
241	22738	90015
242	22824	89890
243	22895	89706
244	22961	89502
245	23021	89277
246	23101	89131
247	23165	88925
248	23253	88813
249	23323	88627
250	23386	88422
251	23458	88249
252	23524	88055
253	23589	87857
254	23668	87713
255	23749	87575
256	23842	87485
257	23925	87354
258	23992	87168
259	24079	87058
260	24225	87157
261	24331	87111
262	24442	87082
263	24521	86939
264	24597	86788
265	24669	86622
266	24753	86497
267	24845	86404
268	24990	86490
269	25130	86560
270	25229	86487
271	25309	86351
272	25405	86265
273	25544	86329
274	25668	86339
275	25760	86240
276	25844	86116
277	25940	86033
278	26046	85982
279	26170	85990
280	26282	85954
281	26375	85861
282	26464	85752
283	26561	85670
284	26662	85601
285	26779	85581
286	26898	85569
287	27043	85638
288	27146	85572
289	27252	85515
290	27343	85411
291	27425	85283
292	27507	85151
293	27623	85123
294	27721	85045
295	27837	85016
296	27964	85022
297	28069	84961
298	28160	84859
299	28238	84715
300	28337	84635
301	28422	84515
302	28498	84366
303	28591	84271
304	28667	84121
305	28750	83996
306	28844	83902
307	28936	83802
308	29010	83652
309	29102	83551
310	29196	83457
311	29286	83354
312	29382	83265
313	29469	83152
314	29569	83076
315	29661	82977
316	29746	82857
317	29850	82794
318	29933	82668
319	30025	82570
320	30103	82433
321	30185	82307
322	30283	82224
323	30363	82094
324	30437	81947
325	30518	81820
326	30588	81663
327	30663	81519
328	30748	81403
329	30838	81302
330	30905	81138
331	30992	81029
332	31070	80896
333	31157	80785
334	31239	80662
335	31298	80480
336	31370	80334
337	31444	80191
338	31518	80052
339	31600	79930
340	31667	79772
341	31771	79706
342	31861	79608
343	31954	79515
